"version","doi_eng","doi_fra","rebased"
"1991-07","doi:10.5683/SP3/H0B3LS","doi:10.5683/SP3/MQHZ4A","2001"
"1991-08","doi:10.5683/SP3/ZIQZ6W","doi:10.5683/SP3/NMWIWS","2001"
"1991-09","doi:10.5683/SP3/0XEG9E","doi:10.5683/SP3/BDWV4Z","2001"
"1991-10","doi:10.5683/SP3/TUGGED","doi:10.5683/SP3/OKZ5EB","2001"
"1991-11","doi:10.5683/SP3/JKHFZY","doi:10.5683/SP3/6IF1HE","2001"
"1991-12","doi:10.5683/SP3/BN9FMX","doi:10.5683/SP3/RX763A","2001"
"1992-01","doi:10.5683/SP3/AABMNU","doi:10.5683/SP3/BW39XS","2001"
"1992-02","doi:10.5683/SP3/5IUEZA","doi:10.5683/SP3/BTW0SF","2001"
"1992-03","doi:10.5683/SP3/BAQFRN","doi:10.5683/SP3/VIXBKW","2001"
"1992-04","doi:10.5683/SP3/WRFMNS","doi:10.5683/SP3/VW9WLA","2001"
"1992-05","doi:10.5683/SP3/WEGK9W","doi:10.5683/SP3/R3XPWC","2001"
"1992-06","doi:10.5683/SP3/XDY1AV","doi:10.5683/SP3/VQMQJ6","2001"
"1992-07","doi:10.5683/SP3/ZPG7PS","doi:10.5683/SP3/LUTYQY","2001"
"1992-08","doi:10.5683/SP3/M0WOZQ","doi:10.5683/SP3/BB5JNO","2001"
"1992-09","doi:10.5683/SP3/4FIUZY","doi:10.5683/SP3/LOXZFP","2001"
"1992-10","doi:10.5683/SP3/NPSPW6","doi:10.5683/SP3/KHCD1F","2001"
"1992-11","doi:10.5683/SP3/YD9TLV","doi:10.5683/SP3/XNKGBQ","2001"
"1992-12","doi:10.5683/SP3/MZK91N","doi:10.5683/SP3/5NOLOE","2001"
"1993-01","doi:10.5683/SP3/TRZHWD","doi:10.5683/SP3/16YR1W","2001"
"1993-02","doi:10.5683/SP3/SXHJ1U","doi:10.5683/SP3/IYBVNZ","2001"
"1993-03","doi:10.5683/SP3/W48RY7","doi:10.5683/SP3/NUALAH","2001"
"1993-04","doi:10.5683/SP3/KGO3DZ","doi:10.5683/SP3/DA8LGJ","2001"
"1993-05","doi:10.5683/SP3/TZT1QG","doi:10.5683/SP3/VFYYFC","2001"
"1993-06","doi:10.5683/SP3/9FDAME","doi:10.5683/SP3/ALMPGQ","2001"
"1993-07","doi:10.5683/SP3/4OMZFS","doi:10.5683/SP3/YYC603","2001"
"1993-08","doi:10.5683/SP3/EL54AV","doi:10.5683/SP3/EYAU2O","2001"
"1993-09","doi:10.5683/SP3/B8FAD9","doi:10.5683/SP3/OGGBLO","2001"
"1993-10","doi:10.5683/SP3/OGGVVU","doi:10.5683/SP3/BLIU7R","2001"
"1993-11","doi:10.5683/SP3/OERAD5","doi:10.5683/SP3/JI0LRR","2001"
"1993-12","doi:10.5683/SP3/PW347M","doi:10.5683/SP3/HCKPXL","2001"
"1994-01","doi:10.5683/SP3/KKSBNM","doi:10.5683/SP3/D2QIWQ","2001"
"1994-02","doi:10.5683/SP3/MKXLQT","doi:10.5683/SP3/1HV9ZX","2001"
"1994-03","doi:10.5683/SP3/DUIER6","doi:10.5683/SP3/TVBCJA","2001"
"1994-04","doi:10.5683/SP3/7BURST","doi:10.5683/SP3/J72VTQ","2001"
"1994-05","doi:10.5683/SP3/GTPZMZ","doi:10.5683/SP3/MRIG2O","2001"
"1994-06","doi:10.5683/SP3/KTD209","doi:10.5683/SP3/DP2ZZV","2001"
"1994-07","doi:10.5683/SP3/Q9RTW1","doi:10.5683/SP3/ADRIS6","2001"
"1994-08","doi:10.5683/SP3/NEOGRW","doi:10.5683/SP3/4FHTTR","2001"
"1994-09","doi:10.5683/SP3/FAVJZH","doi:10.5683/SP3/OLNEPU","2001"
"1994-10","doi:10.5683/SP3/LLQWGQ","doi:10.5683/SP3/NDWWL9","2001"
"1994-11","doi:10.5683/SP3/AXXWYC","doi:10.5683/SP3/XGZ1MB","2001"
"1994-12","doi:10.5683/SP3/OGB6UU","doi:10.5683/SP3/MUJBV0","2001"
"1995-01","doi:10.5683/SP3/SGHR2O","doi:10.5683/SP3/WGAOZS","2001"
"1995-02","doi:10.5683/SP3/7UYV2L","doi:10.5683/SP3/0PJ7CQ","2001"
"1995-03","doi:10.5683/SP3/U0EV2K","doi:10.5683/SP3/VM2BXB","2001"
"1995-04","doi:10.5683/SP3/4UUCUU","doi:10.5683/SP3/Y9QJFX","2001"
"1995-05","doi:10.5683/SP3/PIQICG","doi:10.5683/SP3/Q3KKAX","2001"
"1995-06","doi:10.5683/SP3/MOZYDP","doi:10.5683/SP3/QO2BD9","2001"
"1995-07","doi:10.5683/SP3/ARAKMI","doi:10.5683/SP3/1YIJM9","2001"
"1995-08","doi:10.5683/SP3/GFRKNH","doi:10.5683/SP3/XOTAKZ","2001"
"1995-09","doi:10.5683/SP3/BTUMI6","doi:10.5683/SP3/BMD7Z2","2001"
"1995-10","doi:10.5683/SP3/BEZQ1U","doi:10.5683/SP3/NWMHZU","2001"
"1995-11","doi:10.5683/SP3/MEBDMI","doi:10.5683/SP3/FLVIWW","2001"
"1995-12","doi:10.5683/SP3/KUDTPW","doi:10.5683/SP3/ZI78GL","2001"
"1996-01","doi:10.5683/SP3/I8RG1R","doi:10.5683/SP3/XE9AHN","2006"
"1996-02","doi:10.5683/SP3/NBQFTD",,"2006"
